X,av_tt,maxdelay_NBSB,saturation_NBSB,maxdelay_EBWB,saturation_EBWB
0.5,593.2515337423313,14.545150501672243,0.10151759025063253,18.329943502824854,0.5451393169769441
0.4875,613.9405204460967,14.128205128205128,0.1,20.481786941580758,0.7655353683498917
0.475,633.7407407407408,17.675585284280942,0.3555345316934727,22.53333333333333,0.9256128486897717
0.4625,606.56,13.720000000000004,0.1,19.44691358024691,0.7721943023846358
0.45,666.4705882352941,17.37335834896811,0.16884449244060573,27.295709570957097,1.1645302198587326
0.4375,630.8070175438596,24.588235294117645,0.8139097744360898,19.58095238095238,0.8509241245136182
0.425,596.6051660516605,15.37037037037037,0.1,17.101960784313718,0.7260500682930716
0.4125,583.1395348837209,16.079999999999995,0.1,15.408333333333331,0.6382978723404256
0.4,597.6404494382023,19.365853658536583,0.1,15.3937984496124,0.6813374962231843
0.3875,610.3971119133574,24.77546777546778,0.6370663216278191,16.262499999999996,0.7819730505576554
0.375,600.948905109489,23.093023255813954,0.40181268882175214,14.972108843537416,0.7313462674360487
0.3625,587.0786516853933,24.333333333333336,0.4669343410486537,13.709157509157507,0.6769829718880551
0.35,587.4906367041199,22.264957264957264,0.13128598848368517,13.35942028985507,0.6914565148455358
0.3375,584.7540983606557,27.388888888888893,0.6497633536173095,10.863522012578613,0.5092635578047975
0.35,584.1269841269841,26.232793522267208,0.597604532977633,11.453687315634221,0.5185294513871831
0.3625,573.5766423357665,27.162790697674417,0.7415712092583844,11.32541254125412,0.44804172980533824
0.375,588.8148148148148,22.837209302325583,0.3727087576374747,13.64912280701754,0.6277634961439581
0.3625,614.6153846153846,20.317073170731703,0.1,17.84516129032258,0.9290863850963379
0.35,561.2301587301587,16.444444444444446,0.1,12.23333333333333,0.5957870467407254
0.3375,595.9136212624585,26.112179487179493,0.5185548872795717,13.221406727828747,0.7212811195940304
0.325,582.1180555555555,26.411764705882355,0.47918451259208555,11.067986798679868,0.5824586513994906
0.3125,579.0725806451613,26.219512195121958,0.37720930232558236,10.145098039215686,0.5386548125241591
0.3,555.9230769230769,33.666666666666664,1.0544554455445545,6.457246376811594,0.1
0.3125,552.172131147541,26.555555555555554,0.4179916317991632,6.075502008032129,0.1
0.325,610.6405693950178,27.382352941176475,0.5848963067008187,15.85714285714285,0.90990990990991
0.3125,602.0503597122303,24.904761904761905,0.20707456978967517,14.991666666666669,0.8935267067562787
0.3,529.5769230769231,18.0,0.1,5.70187265917603,0.1
0.2875,566.1153846153846,27.26666666666667,0.3340597427447652,8.620289855072462,0.4707907124907086
0.275,568.3137254901961,31.0,0.7008797653958945,8.467399267399264,0.5091860541437191
0.2875,616.2135922330098,37.51372549019607,1.3116767719004803,12.094080996884731,0.7890873053531774
0.3,585.7142857142857,31.338211382113816,0.8541742333834894,9.610256410256403,0.5331414849824659
0.3125,537.1729957805907,24.176470588235293,0.10486618004866198,6.780524344569284,0.1
0.325,573.976833976834,26.882170542635656,0.5313721401731087,9.643223443223444,0.42226949277013887
0.3375,619.1666666666666,27.477777777777778,0.6584445343038146,17.03333333333333,0.9398884909352732
0.325,604.0613026819923,25.9375,0.4246524559777572,15.65964912280702,0.900365972066622
0.3125,556.017316017316,25.97368421052631,0.34670719351570334,8.73333333333333,0.36120749479528114
0.3,584.976076555024,28.405405405405407,0.5551855375832543,11.496428571428567,0.7093485110726488
0.2875,547.8070175438596,27.29032258064516,0.33716209271250885,8.570238095238096,0.4643188746975088
0.275,563.5315985130112,30.75675675675676,0.6740693401501839,9.490306122448981,0.6215553854168018
0.2875,561.8181818181819,20.891304347826086,0.1,10.954885057471268,0.7069499418088542
0.275,573.4042553191489,29.45641025641026,0.5232337300582429,9.522468354430378,0.6246970396693249
0.2625,558.1614349775784,32.56666666666667,0.8049422430179857,7.9,0.49452907101480365
0.275,597.168458781362,27.863636363636363,0.3192940827524837,14.617156862745095,0.9478046281530751
0.2625,586.1290322580645,31.725,0.712597095575819,9.616566265060243,0.6785447522499686
0.275,553.0204081632653,29.527777777777782,0.5318566663815965,6.459939759036144,0.1852119820632419
0.2875,568.5925925925926,32.625,0.921872397134766,11.452272727272724,0.7448219676000872
0.3,565.6326530612245,33.53846153846153,1.0441513761467887,7.855952380952379,0.29330742753231004
0.3125,576.5454545454545,35.340909090909086,1.209003215434083,9.870833333333332,0.508154572316666
